全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23576905,978-4-86675-160-3,,白魔術師は勇者のレベルを上げたくない = THE WHITE MAGICIAN DOESN'T WANT TO RAISE HERO'S LEVEL. 1 / 桐江 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.8",174p ; 19cm
23564696,978-4-86675-161-0,,異世界征服記 = THE CONQUEST RECORD OF MAGIC & SWORD : 不遇種族たちの最強国家. 1 / 結希シュシュ 漫画 ; 未来人A 原作 ; ゆずしお キャラクター原作,,METEOR COMICS,"東京 : フレックスコミックス, 2021.8",176p ; 19cm
23576904,978-4-86675-162-7,,落ちこぼれ王女と黒の番犬. 1 / 星森スズ 漫画 ; 結都せと 原作 ; 北沢きょう キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.8",146p ; 19cm
23564701,978-4-86675-163-4,,おじさんはカワイイものがお好き。. 6 / ツトム 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.8",139p ; 19cm
23579100,978-4-86675-164-1,,アラサーママの私でいいの? = I'M AROUND 30 IS IT OK WITH ME? 1 / ねこ末端 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.9",161p ; 19cm
23579095,978-4-86675-165-8,,魔王様に召喚されたけど言葉が通じない。. 3 / うたしま 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.9",144p ; 19cm
23585551,978-4-86675-166-5,,悪役令嬢らしく、攻略対象を服従させます : 推しがダメになっていて解釈違いなんですけど!? 1 / 奈院ゆりえ 漫画 ; 時田とおる 原作 ; わるつ キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.9",1冊 ; 19cm
23585566,978-4-86675-167-2,,推しが我が家にやってきた! 5 / 慎本真 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.9",132p ; 19cm
23585568,978-4-86675-168-9,,花嫁未満エスケープ. 1 / 小川まるに 著,,,"東京 : BookLive, 2021.9",172p ; 19cm
23595024,978-4-86675-169-6,,お湯でほころぶ雪芽先輩. 2 / 三簾真也 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.10",169p ; 19cm
23597852,978-4-86675-170-2,,手玉に取りたい黒木屋さん. 3 / ポロロッカ 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.10",161p ; 19cm
23597851,978-4-86675-171-9,,怪人開発部の黒井津さん = KUROITSU san from the Monster Development Department. 3 / 水崎弘明 著,,メテオCOMICS,"東京 : フレックスコミックス, 2021.10",140p ; 19cm
23597844,978-4-86675-172-6,,もしも首輪がはずせたならば = IF I COULD TAKE MY COLLAR OFF. 1 / トナミショウ 著,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.10",172p ; 19cm
23597848,978-4-86675-173-3,,「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます. 1 / 水埜なつ 漫画 ; 三沢ケイ 原作,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.10",179p ; 19cm
23613558,978-4-86675-174-0,,親友王子と腰巾着 : 推しの王子に求婚されて困ってます. 2 / 真籠縁 原作 ; 流星ハニー 漫画,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.11",1冊 ; 19cm
23611586,978-4-86675-175-7,,魔剣使いの元少年兵は、元敵幹部のお姉さんと一緒に生きたい = A former child soldier who uses a magic sword wants to live with a lady of former enemy executive. 02 / 牧田ロン 漫画 ; 支倉文度 原作 ; ox キャラクター原案,,メテオCOMICS,"東京 : フレックスコミックス, 2021.11",161p ; 19cm
23612391,978-4-86675-176-4,,でこぼこ魔女の親子事情. 3 / ピロヤ 著,,METEOR COMICS,"東京 : フレックスコミックス, 2021.11",128p ; 19cm
23612890,978-4-86675-177-1,,前世悪役だった令嬢が、引き籠りの調教を任されました. 1 / 九段そごう 漫画 ; 田井ノエル 原作 ; 時瀬こん キャラクター原案,,POLARIS COMICS,"東京 : フレックスコミックス, 2021.11",160p ; 19cm
